date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:36	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202022%2010:50:38%20GMT	https://plenonet.com.br/robots.txt		(from )
02:17:36	45254/45254	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Oct%202022%2001:25:57%20GMT	https://plenonet.com.br/	C:/Users/brenn/Desktop/nx2/plenonet.com.br/index.html	(from )
02:17:36	6892/6892	---M--	200	added ('OK')	image/png	etag:%221aec-634caf28-fedd23739acaae64;;;%22	https://plenonet.com.br/assets/images/logo-1-141x141.png	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/images/logo-1-141x141.png	(from https://plenonet.com.br/)
02:17:36	8709/8709	---M-Z	200	added ('OK')	text/css	etag:%222205-634caf38-4b7810f8a76afaea;gz%22	https://plenonet.com.br/assets/web/assets/mobirise-icons2/mobirise2.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://plenonet.com.br/)
02:17:37	12562/12562	---M-Z	200	added ('OK')	text/css	etag:%223112-634caf29-b012635c6169698b;gz%22	https://plenonet.com.br/assets/simple-line-icons/simple-line-icons.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/simple-line-icons/simple-line-icons.css	(from https://plenonet.com.br/)
02:17:37	7613/7613	---M-Z	200	added ('OK')	text/css	etag:%221dbd-634caf38-25b3ae79237959c8;gz%22	https://plenonet.com.br/assets/web/assets/mobirise-icons/mobirise-icons.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/web/assets/mobirise-icons/mobirise-icons.css	(from https://plenonet.com.br/)
02:17:37	48785/48785	---M-Z	200	added ('OK')	text/css	etag:%22be91-634caf2f-7a8419896329cfc2;gz%22	https://plenonet.com.br/assets/bootstrap-material-design-font/css/material.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/bootstrap-material-design-font/css/material.css	(from https://plenonet.com.br/)
02:17:37	237/237	---MCZ	200	added ('OK')	text/css	etag:W/%22ed-634caf29-ffa899eb5775d14a;;;%22	https://plenonet.com.br/assets/tether/tether.min.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/tether/tether.min.css	(from https://plenonet.com.br/)
02:17:37	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-634caf2f-bd17de84f10eb881;gz%22	https://plenonet.com.br/assets/bootstrap/css/bootstrap.min.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/bootstrap/css/bootstrap.min.css	(from https://plenonet.com.br/)
02:17:38	48488/48488	---M-Z	200	added ('OK')	text/css	etag:%22bd68-634caf2f-9d138b1e060cb701;gz%22	https://plenonet.com.br/assets/bootstrap/css/bootstrap-grid.min.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/bootstrap/css/bootstrap-grid.min.css	(from https://plenonet.com.br/)
02:17:38	3836/3836	---M-Z	200	added ('OK')	text/css	etag:%22efc-634caf2f-d65ab06e6267517d;gz%22	https://plenonet.com.br/assets/bootstrap/css/bootstrap-reboot.min.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://plenonet.com.br/)
02:17:38	7982/7982	---M-Z	200	added ('OK')	text/css	etag:%221f2e-634caf2f-9e2c12900a8e254e;gz%22	https://plenonet.com.br/assets/dropdown/css/style.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/dropdown/css/style.css	(from https://plenonet.com.br/)
02:17:39	15507/15507	---M-Z	200	added ('OK')	text/css	etag:%223c93-634caf36-f9ade317c143e3ab;gz%22	https://plenonet.com.br/assets/socicon/css/styles.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/socicon/css/styles.css	(from https://plenonet.com.br/)
02:17:39	13702/13702	---M-Z	200	added ('OK')	text/css	etag:%223586-634caf37-edbf6198f51fa99a;gz%22	https://plenonet.com.br/assets/theme/css/style.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/theme/css/style.css	(from https://plenonet.com.br/)
02:17:39	79537/79537	---M-Z	200	added ('OK')	text/css	etag:%22136b1-634caf35-2725cee01d9ae12f;gz%22	https://plenonet.com.br/assets/mobirise/css/mbr-additional.css	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/mobirise/css/mbr-additional.css	(from https://plenonet.com.br/)
02:17:39	45254/45254	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Oct%202022%2001:25:57%20GMT	https://plenonet.com.br/index.html	C:/Users/brenn/Desktop/nx2/plenonet.com.br/index-2.html	(from https://plenonet.com.br/)
02:17:40	16763/16763	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Oct%202022%2001:25:57%20GMT	https://plenonet.com.br/aplicativos.html	C:/Users/brenn/Desktop/nx2/plenonet.com.br/aplicativos.html	(from https://plenonet.com.br/)
02:17:40	78242/78242	---M--	200	added ('OK')	image/png	etag:%22131a2-634caf28-c4531dd65a901db5;;;%22	https://plenonet.com.br/assets/images/internet-movel-header-5-747x500.png	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/images/internet-movel-header-5-747x500.png	(from https://plenonet.com.br/)
02:17:40	94356/94356	---M--	200	added ('OK')	image/png	etag:%2217094-634caf29-d244e294e95be661;;;%22	https://plenonet.com.br/assets/images/movel3-5-700x736.png	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/images/movel3-5-700x736.png	(from https://plenonet.com.br/)
02:17:40	7465/7465	---M--	200	added ('OK')	image/png	etag:%221d29-634caf29-4a9e80dc3be468b8;;;%22	https://plenonet.com.br/assets/images/rocket-space-icon-185991-200x200.png	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/images/rocket-space-icon-185991-200x200.png	(from https://plenonet.com.br/)
02:17:40	29559/29559	---M--	200	added ('OK')	image/png	etag:%227377-634caf28-f4b4894dd077b8d7;;;%22	https://plenonet.com.br/assets/images/descomplicada-1-200x211.png	C:/Users/brenn/Desktop/nx2/plenonet.com.br/assets/images/descomplicada-1-200x211.png	(from https://plenonet.com.br/)
